week,team,opponent,site,gameday
1,NE,SEA,A,2026-09-09
1,SEA,NE,H,2026-09-09
1,SF,LA,A,2026-09-10
1,LA,SF,H,2026-09-10
1,CHI,CAR,A,2026-09-13
1,CAR,CHI,H,2026-09-13
1,TB,CIN,A,2026-09-13
1,CIN,TB,H,2026-09-13
1,NO,DET,A,2026-09-13
1,DET,NO,H,2026-09-13
1,BUF,HOU,A,2026-09-13
1,HOU,BUF,H,2026-09-13
1,BAL,IND,A,2026-09-13
1,IND,BAL,H,2026-09-13
1,CLE,JAX,A,2026-09-13
1,JAX,CLE,H,2026-09-13
1,ATL,PIT,A,2026-09-13
1,PIT,ATL,H,2026-09-13
1,NYJ,TEN,A,2026-09-13
1,TEN,NYJ,H,2026-09-13
1,ARI,LAC,A,2026-09-13
1,LAC,ARI,H,2026-09-13
1,MIA,LV,A,2026-09-13
1,LV,MIA,H,2026-09-13
1,GB,MIN,A,2026-09-13
1,MIN,GB,H,2026-09-13
1,WAS,PHI,A,2026-09-13
1,PHI,WAS,H,2026-09-13
1,DAL,NYG,A,2026-09-13
1,NYG,DAL,H,2026-09-13
1,DEN,KC,A,2026-09-14
1,KC,DEN,H,2026-09-14
2,DET,BUF,A,2026-09-17
2,BUF,DET,H,2026-09-17
2,CAR,ATL,A,2026-09-20
2,ATL,CAR,H,2026-09-20
2,NO,BAL,A,2026-09-20
2,BAL,NO,H,2026-09-20
2,MIN,CHI,A,2026-09-20
2,CHI,MIN,H,2026-09-20
2,CIN,HOU,A,2026-09-20
2,HOU,CIN,H,2026-09-20
2,PIT,NE,A,2026-09-20
2,NE,PIT,H,2026-09-20
2,GB,NYJ,A,2026-09-20
2,NYJ,GB,H,2026-09-20
2,CLE,TB,A,2026-09-20
2,TB,CLE,H,2026-09-20
2,PHI,TEN,A,2026-09-20
2,TEN,PHI,H,2026-09-20
2,JAX,DEN,A,2026-09-20
2,DEN,JAX,H,2026-09-20
2,LV,LAC,A,2026-09-20
2,LAC,LV,H,2026-09-20
2,SEA,ARI,A,2026-09-20
2,ARI,SEA,H,2026-09-20
2,WAS,DAL,A,2026-09-20
2,DAL,WAS,H,2026-09-20
2,MIA,SF,A,2026-09-20
2,SF,MIA,H,2026-09-20
2,IND,KC,A,2026-09-20
2,KC,IND,H,2026-09-20
2,NYG,LA,A,2026-09-21
2,LA,NYG,H,2026-09-21
3,ATL,GB,A,2026-09-24
3,GB,ATL,H,2026-09-24
3,LAC,BUF,A,2026-09-27
3,BUF,LAC,H,2026-09-27
3,CAR,CLE,A,2026-09-27
3,CLE,CAR,H,2026-09-27
3,NYJ,DET,A,2026-09-27
3,DET,NYJ,H,2026-09-27
3,HOU,IND,A,2026-09-27
3,IND,HOU,H,2026-09-27
3,NE,JAX,A,2026-09-27
3,JAX,NE,H,2026-09-27
3,KC,MIA,A,2026-09-27
3,MIA,KC,H,2026-09-27
3,TEN,NYG,A,2026-09-27
3,NYG,TEN,H,2026-09-27
3,CIN,PIT,A,2026-09-27
3,PIT,CIN,H,2026-09-27
3,SEA,WAS,A,2026-09-27
3,WAS,SEA,H,2026-09-27
3,ARI,SF,A,2026-09-27
3,SF,ARI,H,2026-09-27
3,MIN,TB,A,2026-09-27
3,TB,MIN,H,2026-09-27
3,BAL,DAL,A,2026-09-27
3,DAL,BAL,H,2026-09-27
3,LV,NO,A,2026-09-27
3,NO,LV,H,2026-09-27
3,LA,DEN,A,2026-09-27
3,DEN,LA,H,2026-09-27
3,PHI,CHI,A,2026-09-28
3,CHI,PHI,H,2026-09-28
4,PIT,CLE,A,2026-10-01
4,CLE,PIT,H,2026-10-01
4,IND,WAS,A,2026-10-04
4,WAS,IND,H,2026-10-04
4,TEN,BAL,A,2026-10-04
4,BAL,TEN,H,2026-10-04
4,NE,BUF,A,2026-10-04
4,BUF,NE,H,2026-10-04
4,NYJ,CHI,A,2026-10-04
4,CHI,NYJ,H,2026-10-04
4,JAX,CIN,A,2026-10-04
4,CIN,JAX,H,2026-10-04
4,DAL,HOU,A,2026-10-04
4,HOU,DAL,H,2026-10-04
4,ARI,NYG,A,2026-10-04
4,NYG,ARI,H,2026-10-04
4,LA,PHI,A,2026-10-04
4,PHI,LA,H,2026-10-04
4,GB,TB,A,2026-10-04
4,TB,GB,H,2026-10-04
4,MIA,MIN,A,2026-10-04
4,MIN,MIA,H,2026-10-04
4,KC,LV,A,2026-10-04
4,LV,KC,H,2026-10-04
4,LAC,SEA,A,2026-10-04
4,SEA,LAC,H,2026-10-04
4,DEN,SF,A,2026-10-04
4,SF,DEN,H,2026-10-04
4,DET,CAR,A,2026-10-04
4,CAR,DET,H,2026-10-04
4,ATL,NO,A,2026-10-05
4,NO,ATL,H,2026-10-05
5,TB,DAL,A,2026-10-08
5,DAL,TB,H,2026-10-08
5,PHI,JAX,A,2026-10-11
5,JAX,PHI,H,2026-10-11
5,CIN,MIA,A,2026-10-11
5,MIA,CIN,H,2026-10-11
5,LV,NE,A,2026-10-11
5,NE,LV,H,2026-10-11
5,MIN,NO,A,2026-10-11
5,NO,MIN,H,2026-10-11
5,CLE,NYJ,A,2026-10-11
5,NYJ,CLE,H,2026-10-11
5,IND,PIT,A,2026-10-11
5,PIT,IND,H,2026-10-11
5,HOU,TEN,A,2026-10-11
5,TEN,HOU,H,2026-10-11
5,NYG,WAS,A,2026-10-11
5,WAS,NYG,H,2026-10-11
5,DEN,LAC,A,2026-10-11
5,LAC,DEN,H,2026-10-11
5,DET,ARI,A,2026-10-11
5,ARI,DET,H,2026-10-11
5,CHI,GB,A,2026-10-11
5,GB,CHI,H,2026-10-11
5,SF,SEA,A,2026-10-11
5,SEA,SF,H,2026-10-11
5,BAL,ATL,A,2026-10-11
5,ATL,BAL,H,2026-10-11
5,BUF,LA,A,2026-10-12
5,LA,BUF,H,2026-10-12
6,SEA,DEN,A,2026-10-15
6,DEN,SEA,H,2026-10-15
6,HOU,JAX,A,2026-10-18
6,JAX,HOU,H,2026-10-18
6,CHI,ATL,A,2026-10-18
6,ATL,CHI,H,2026-10-18
6,BAL,CLE,A,2026-10-18
6,CLE,BAL,H,2026-10-18
6,TEN,IND,A,2026-10-18
6,IND,TEN,H,2026-10-18
6,NYJ,NE,A,2026-10-18
6,NE,NYJ,H,2026-10-18
6,NO,NYG,A,2026-10-18
6,NYG,NO,H,2026-10-18
6,CAR,PHI,A,2026-10-18
6,PHI,CAR,H,2026-10-18
6,PIT,TB,A,2026-10-18
6,TB,PIT,H,2026-10-18
6,ARI,LA,A,2026-10-18
6,LA,ARI,H,2026-10-18
6,LAC,KC,A,2026-10-18
6,KC,LAC,H,2026-10-18
6,BUF,LV,A,2026-10-18
6,LV,BUF,H,2026-10-18
6,DAL,GB,A,2026-10-18
6,GB,DAL,H,2026-10-18
6,WAS,SF,A,2026-10-19
6,SF,WAS,H,2026-10-19
7,NE,CHI,A,2026-10-22
7,CHI,NE,H,2026-10-22
7,PIT,NO,A,2026-10-25
7,NO,PIT,H,2026-10-25
7,SF,ATL,A,2026-10-25
7,ATL,SF,H,2026-10-25
7,CIN,BAL,A,2026-10-25
7,BAL,CIN,H,2026-10-25
7,TB,CAR,A,2026-10-25
7,CAR,TB,H,2026-10-25
7,NYG,HOU,A,2026-10-25
7,HOU,NYG,H,2026-10-25
7,IND,MIN,A,2026-10-25
7,MIN,IND,H,2026-10-25
7,MIA,NYJ,A,2026-10-25
7,NYJ,MIA,H,2026-10-25
