team,usage_role,player,games,targets,target_share,target_share_weekly_mean,target_share_weekly_median,receptions,catch_rate,receiving_yards,yards_per_game,receiving_yards_median,receiving_yards_std,yards_rank_team,receiving_tds,games_with_td,td_game_rate,td_consistency_rank_team,stat_season,data_status
SEA,WR1,Jaxon Smith-Njigba,17,163,0.35824175824175825,0.3677047335575659,0.3333333333333333,119,0.7300613496932515,1793,105.47058823529412,103.0,34.05164762360777,1,10,8,0.47058823529411764,2,2025,HISTORICAL_2025_BASELINE
DET,WR1,Amon-Ra St. Brown,17,172,0.31272727272727274,0.31663969119731056,0.34210526315789475,117,0.6802325581395349,1401,82.41176470588235,77.0,42.57355227064306,1,11,7,0.4117647058823529,2,2025,HISTORICAL_2025_BASELINE
CIN,WR1,Ja'Marr Chase,16,185,0.3042763157894737,0.3206574378159984,0.2863636363636364,125,0.6756756756756757,1412,88.25,95.0,45.34093073592557,1,8,6,0.375,2,2025,HISTORICAL_2025_BASELINE
MIN,WR1,Justin Jefferson,17,141,0.30128205128205127,0.30669593764750314,0.3235294117647059,84,0.5957446808510638,1048,61.64705882352941,61.0,36.0450086289187,1,2,2,0.11764705882352941,3,2025,HISTORICAL_2025_BASELINE
BAL,WR1,Zay Flowers,17,118,0.28992628992628994,0.2988172538071384,0.3,86,0.7288135593220338,1211,71.23529411764706,72.0,37.854209494725794,1,5,4,0.23529411764705882,2,2025,HISTORICAL_2025_BASELINE
LA,WR1,Puka Nacua,16,166,0.2857142857142857,0.30127010787872627,0.2967967967967968,129,0.7771084337349398,1715,107.1875,93.0,53.79370316310264,1,10,8,0.5,2,2025,HISTORICAL_2025_BASELINE
NYG,WR1,Wan'Dale Robinson,16,140,0.2783300198807157,0.30265772214460096,0.2940613026819924,92,0.6571428571428571,1014,63.375,51.0,43.11051689166654,1,4,4,0.25,1,2025,HISTORICAL_2025_BASELINE
NO,WR1,Chris Olave,16,156,0.2761061946902655,0.29178982543708415,0.29822161422708615,100,0.6410256410256411,1163,72.6875,61.0,33.63275932777446,1,9,7,0.4375,2,2025,HISTORICAL_2025_BASELINE
PHI,WR1,A.J. Brown,15,121,0.2607758620689655,0.28656218396082017,0.3181818181818182,78,0.6446280991735537,1003,66.86666666666666,68.0,43.069489808691166,2,7,5,0.3333333333333333,1,2025,HISTORICAL_2025_BASELINE
CAR,WR1,Tetairoa McMillan,17,122,0.25416666666666665,0.25740246205305123,0.25925925925925924,70,0.5737704918032787,1014,59.64705882352941,60.0,31.862872548764706,1,7,5,0.29411764705882354,1,2025,HISTORICAL_2025_BASELINE
