team,usage_role,player,games,targets,target_share,target_share_weekly_mean,target_share_weekly_median,receptions,catch_rate,receiving_yards,yards_per_game,receiving_yards_median,receiving_yards_std,yards_rank_team,receiving_tds,games_with_td,td_game_rate,td_consistency_rank_team,stat_season,data_status
DET,WR1,Amon-Ra St. Brown,2,27,0.35064935064935066,0.35053981106612686,0.35053981106612686,19,0.7037037037037037,209,104.5,104.5,53.033008588991066,1,4,2,1.0,1,2026,CURRENT_2026
SEA,WR1,Jaxon Smith-Njigba,2,22,0.44,0.4407051282051282,0.4407051282051282,17,0.7727272727272727,277,138.5,138.5,23.33452377915607,1,4,2,1.0,1,2026,CURRENT_2026
GB,WR1,Christian Watson,2,19,0.2753623188405797,0.2896551724137931,0.2896551724137931,10,0.5263157894736842,188,94.0,94.0,74.95331880577403,1,3,2,1.0,1,2026,CURRENT_2026
DAL,WR1,CeeDee Lamb,2,17,0.2786885245901639,0.278494623655914,0.278494623655914,13,0.7647058823529411,197,98.5,98.5,77.07463914933368,1,3,2,1.0,1,2026,CURRENT_2026
WAS,WR1,Stefon Diggs,2,15,0.23809523809523808,0.2434077079107505,0.2434077079107505,9,0.6,102,51.0,51.0,5.656854249492381,1,3,2,1.0,1,2026,CURRENT_2026
CLE,WR1,Denzel Boston,2,11,0.21153846153846154,0.20757575757575758,0.20757575757575758,7,0.6363636363636364,154,77.0,77.0,25.45584412271571,1,2,2,1.0,1,2026,CURRENT_2026
HOU,WR2,Nico Collins,1,10,0.11494252873563218,0.2702702702702703,0.2702702702702703,7,0.7,75,75.0,75.0,0.0,2,1,1,1.0,1,2026,CURRENT_2026
BAL,WR2,Zay Flowers,1,6,0.11320754716981132,0.25,0.25,5,0.8333333333333334,150,150.0,150.0,0.0,1,1,1,1.0,1,2026,CURRENT_2026
CAR,WR1,Jalen Coker,2,18,0.2727272727272727,0.27297794117647056,0.27297794117647056,16,0.8888888888888888,204,102.0,102.0,50.91168824543142,1,2,1,0.5,1,2026,CURRENT_2026
LA,WR1,Davante Adams,2,16,0.2807017543859649,0.2777777777777778,0.2777777777777778,11,0.6875,221,110.5,110.5,119.50104602052653,1,2,1,0.5,1,2026,CURRENT_2026
